twitter,name,party,class
@MohammadAsghar,Mohammad Asghar,Conservative,#0087DC
@AngelaBurnsAM,Angela Burns,Conservative,#0087DC
@AndrewRTDavies,Andrew RT Davies,Conservative,#0087DC
,Paul Davies,Conservative,#0087DC
@suzydaviesam,Suzy Davies,Conservative,#0087DC
@JFinchSaunders,Janet Finch-Saunders,Conservative,#0087DC
@russ_george,Russell George,Conservative,#0087DC
@MarkIsherwoodAM,Mark Isherwood,Conservative,#0087DC
,David Melding,Conservative,#0087DC
@DarrenMillarAM,Darren Millar,Conservative,#0087DC
@NickRamsayAM,Nick Ramsay,Conservative,#0087DC
@GarethBennettAM,Gareth Bennett,UKIP,#70147A
@UKIPNorthWales,Michelle Brown,UKIP,#70147A
@NathanGillMEP,Nathan Gill,UKIP,#70147A
@NeilUKIP,Neil Hamilton,UKIP,#70147A
@carolineUKIP,Caroline Jones,UKIP,#70147A
@MarkReckless,Mark Reckless,UKIP,#70147A
@DavidRowlandsAM,David Rowlands,UKIP,#70147A
@MickAntoniw1,Mick Antoniw,Labour,#dc241f
@hannahblythyn,Hannah Blythyn,Labour,#dc241f
@Dawn_Bowden,Dawn Bowden,Labour,#dc241f
@JBryantWales,Jayne Bryant,Labour,#dc241f
@hef4caerphilly,Hefin David,Labour,#dc241f
@AlunDaviesAM,Alun Davies,Labour,#dc241f
@MarkDrakeford,Mark Drakeford,Labour,#dc241f
@RebeccaEvansAM,Rebecca Evans,Labour,#dc241f
@vaughangething,Vaughan Gething,Labour,#dc241f
@JGriffithsLab,John Griffiths,Labour,#dc241f
@lesley4wrexham,Lesley Griffiths,Labour,#dc241f
@MikeHedgesAM,Mike Hedges,Labour,#dc241f
@VikkiHowells,Vikki Howells,Labour,#dc241f
@JaneHutt,Jane Hutt,Labour,#dc241f
@huw4ogmore,Huw Irranca-Davies,Labour,#dc241f
@JulieJamesAM,Julie James,Labour,#dc241f
@ann_jonesam,Ann Jones,Labour,#dc241f
@AMCarwyn,Carwyn Jones,Labour,#dc241f
@Jeremy_Miles,Jeremy Miles,Labour,#dc241f
@Eluned_Morgan,Eluned Morgan,Labour,#dc241f
@JulieMorganLAB,Julie Morgan,Labour,#dc241f
,Lynne Neagle,Labour,#dc241f
@rhi4islwyn,Rhianon Passmore,Labour,#dc241f
@JennyRathbone,Jenny Rathbone,Labour,#dc241f
@DavidReesAM,David Rees,Labour,#dc241f
@carlsargeant1,Carl Sargeant,Labour,#dc241f
@KenSkatesAM,Ken Skates,Labour,#dc241f
@Amanwy,Lee Waters,Labour,#dc241f
@JoyceWatsonam,Joyce Watson,Labour,#dc241f
@Kirsty_Williams,Kirsty Williams,Liberal Democrat,#fdbb30
@RhunapIorwerth,Rhun Ap Iorwerth,Plaid Cymru,#008142
@ElisThomasD,Dafydd Elis-Thomas,Plaid Cymru,#008142
@siangwenfelin,Sian Gwenllian,Plaid Cymru,#008142
@LlyrGruffydd,Llyr Huws Gruffydd,Plaid Cymru,#008142
@bethanjenkins,Bethan Jenkins,Plaid Cymru,#008142
,Steffan Lewis,Plaid Cymru,#008142
,Dai Lloyd,Plaid Cymru,#008142
@neiljmcevoy,Neil McEvoy,Plaid Cymru,#008142
@_Adam_Price,Adam Price,Plaid Cymru,#008142
@SimonThomasAC,Simon Thomas,Plaid Cymru,#008142
@LeanneWood,Leanne Wood,Plaid Cymru,#008142
@ElinCeredigion,Elin Jones,Plaid Cymru,#008142
