twitter,name,party,colour,class
AndrewRTDavies,Andrew RT Davies,Conservative,blue,#0087DC
AngelaBurnsAM,Angela Burns,Conservative,blue,#0087DC
ASandbachAM,Antoinette Sandbach,Conservative,blue,#0087DC
Byron_Davies,Byron Davies,Conservative,blue,#0087DC
DarrenMillarAM,Darren Millar,Conservative,blue,#0087DC
DavidMeldingAM,David Melding,Conservative,blue,#0087DC
JFinchSaunders,Janet Finch-Saunders,Conservative,blue,#0087DC
MarkIsherwoodAM,Mark Isherwood,Conservative,blue,#0087DC
MohammadAsghar,Mohammad Asghar,Conservative,blue,#0087DC
NickRamsayAM,Nick Ramsay,Conservative,blue,#0087DC
russ_george,Russell George,Conservative,blue,#0087DC
suzydaviesam,Suzy Davies,Conservative,blue,#0087DC
williamgrahamam,William Graham,Conservative,blue,#0087DC
AlunDaviesAM,Alun Davies,Labour,red,#DC241f
ann_jonesam,Ann Jones,Labour,red,#DC241f
carlsargeant1,Carl Sargeant,Labour,red,#DC241f
ChrisChapmanAM,Christine Chapman,Labour,red,#DC241f
DavidReesAM,David Rees,Labour,red,#DC241f
fmwales,Carwyn Jones,Labour,red,#DC241f
Gwendathomas,Gwenda Thomas,Labour,red,#DC241f
J_GriffithsAM,John Griffiths,Labour,red,#DC241f
JaneHutt,Jane Hutt,Labour,red,#DC241f
Janice4Ogmore,Janice Gregory,Labour,red,#DC241f
jeffcuthbert,Jeff Cuthbert,Labour,red,#DC241f
JennyRathbone,Jenny Rathbone,Labour,red,#DC241f
JoyceWatsonam,Joyce Watson,Labour,red,#DC241f
JulieJamesAM,Julie James,Labour,red,#DC241f
JulieMorganLAB,Julie Morgan,Labour,red,#DC241f
KeithDaviesAC,Keith Davies,Labour,red,#DC241f
KenSkatesAM,Ken Skates,Labour,red,#DC241f
leightonandrews,Leighton Andrews,Labour,red,#DC241f
lesley4wrexham,Lesley Griffiths,Labour,red,#DC241f
MarkDrakeford,Mark Drakeford,Labour,red,#DC241f
MickAntoniw1,Mick Antoniw,Labour,red,#DC241f
MikeHedgesAM,Mike Hedges,Labour,red,#DC241f
RebeccaEvansAM,Rebecca Evans,Labour,red,#DC241f
RosemaryButler,Rosemary Butler,Labour,red,#DC241f
SandyMewiesAM,Sandy Mewies,Labour,red,#DC241f
vaughangething,Vaughan Gething,Labour,red,#DC241f
HuwLewis,Huw Lewis ,Labour ,red,#DC241f
AledRobertsAM,Aled Roberts,Liberal Democrat,yellow,#FDBB30
JohnLDixon,John Dixon,Liberal Democrat,yellow,#FDBB31
Kirsty_Williams,Kirsty Williams,Liberal Democrat,yellow,#FDBB32
peterblackwales,Peter Black,Liberal Democrat,yellow,#FDBB33
WilliamPowellAM,William Powell,Liberal Democrat,yellow,#FDBB34
AlunFfredPlaid,Alun Ffred Jones,Plaid Cymru,green,#008142
bethanjenkins,Bethan Jenkins,Plaid Cymru,green,#008143
ElinCeredigion,Elin Jones,Plaid Cymru,green,#008144
ElisThomasD,Dafydd Elis-Thomas,Plaid Cymru,green,#008145
LeanneWood,Leanne Wood,Plaid Cymru,green,#008146
LlyrGruffydd,Llyr Huws Gruffydd,Plaid Cymru,green,#008147
parkgirl59,Jocelyn Davies,Plaid Cymru,green,#008148
RhodriGlynPlaid,Rhodri Glyn Thomas,Plaid Cymru,green,#008149
Rhosmeirch,Ieuan Wyn Jones,Plaid Cymru,green,#008150
RhunapIorwerth,Rhun Ap Iorwerth,Plaid Cymru,green,#008151
