am1,am2,mentions,party
AMCarwyn,AlunDaviesAM,6,Labour
AMCarwyn,Amanwy,31,Labour
AMCarwyn,AndrewRTDavies,3,Labour
AMCarwyn,DavidReesAM,4,Labour
AMCarwyn,Dawn_Bowden,6,Labour
AMCarwyn,ElisThomasD,2,Labour
AMCarwyn,Eluned_Morgan,2,Labour
AMCarwyn,JBryantWales,8,Labour
AMCarwyn,JFinchSaunders,9,Labour
AMCarwyn,JGriffithsLab,3,Labour
AMCarwyn,JaneHutt,16,Labour
AMCarwyn,JennyRathbone,7,Labour
AMCarwyn,Jeremy_Miles,10,Labour
AMCarwyn,JoyceWatsonam,4,Labour
AMCarwyn,JulieJamesAM,3,Labour
AMCarwyn,JulieMorganLAB,12,Labour
AMCarwyn,KenSkatesAM,5,Labour
AMCarwyn,Kirsty_Williams,6,Labour
AMCarwyn,LeanneWood,3,Labour
AMCarwyn,MarkDrakeford,7,Labour
AMCarwyn,MarkReckless,6,Labour
AMCarwyn,MickAntoniw1,10,Labour
AMCarwyn,MikeHedgesAM,1,Labour
AMCarwyn,NathanGillMEP,3,Labour
AMCarwyn,RebeccaEvansAM,9,Labour
AMCarwyn,VikkiHowells,6,Labour
AMCarwyn,ann_jonesam,3,Labour
AMCarwyn,bethanjenkins,2,Labour
AMCarwyn,carlsargeant1,8,Labour
AMCarwyn,hannahblythyn,10,Labour
AMCarwyn,hef4caerphilly,3,Labour
AMCarwyn,huw4ogmore,21,Labour
AMCarwyn,lesley4wrexham,8,Labour
AMCarwyn,rhi4islwyn,4,Labour
AMCarwyn,suzydaviesam,1,Labour
AMCarwyn,vaughangething,5,Labour
AlunDaviesAM,AMCarwyn,4,Labour
AlunDaviesAM,Amanwy,13,Labour
AlunDaviesAM,AndrewRTDavies,6,Labour
AlunDaviesAM,AngelaBurnsAM,3,Labour
AlunDaviesAM,DarrenMillarAM,6,Labour
AlunDaviesAM,Dawn_Bowden,1,Labour
AlunDaviesAM,ElinCeredigion,4,Labour
AlunDaviesAM,ElisThomasD,11,Labour
AlunDaviesAM,JBryantWales,4,Labour
AlunDaviesAM,JFinchSaunders,6,Labour
AlunDaviesAM,JennyRathbone,2,Labour
AlunDaviesAM,Jeremy_Miles,4,Labour
AlunDaviesAM,JulieJamesAM,1,Labour
AlunDaviesAM,JulieMorganLAB,1,Labour
AlunDaviesAM,KenSkatesAM,6,Labour
AlunDaviesAM,Kirsty_Williams,3,Labour
AlunDaviesAM,LeanneWood,11,Labour
AlunDaviesAM,LlyrGruffydd,2,Labour
AlunDaviesAM,MickAntoniw1,7,Labour
AlunDaviesAM,NickRamsayAM,2,Labour
AlunDaviesAM,RebeccaEvansAM,3,Labour
AlunDaviesAM,RhunapIorwerth,5,Labour
AlunDaviesAM,SimonThomasAC,7,Labour
AlunDaviesAM,VikkiHowells,1,Labour
AlunDaviesAM,_Adam_Price,3,Labour
AlunDaviesAM,ann_jonesam,4,Labour
AlunDaviesAM,bethanjenkins,1,Labour
AlunDaviesAM,carlsargeant1,10,Labour
AlunDaviesAM,hannahblythyn,3,Labour
AlunDaviesAM,lesley4wrexham,3,Labour
AlunDaviesAM,russ_george,4,Labour
AlunDaviesAM,siangwenfelin,1,Labour
AlunDaviesAM,vaughangething,5,Labour
Amanwy,AMCarwyn,14,Labour
Amanwy,AlunDaviesAM,12,Labour
Amanwy,AndrewRTDavies,2,Labour
Amanwy,DavidReesAM,1,Labour
Amanwy,Dawn_Bowden,4,Labour
Amanwy,ElinCeredigion,3,Labour
Amanwy,ElisThomasD,4,Labour
Amanwy,Eluned_Morgan,15,Labour
Amanwy,JBryantWales,1,Labour
Amanwy,JGriffithsLab,1,Labour
Amanwy,JaneHutt,5,Labour
Amanwy,JennyRathbone,4,Labour
Amanwy,Jeremy_Miles,27,Labour
Amanwy,JoyceWatsonam,2,Labour
Amanwy,JulieJamesAM,4,Labour
Amanwy,JulieMorganLAB,4,Labour
Amanwy,KenSkatesAM,3,Labour
Amanwy,Kirsty_Williams,7,Labour
Amanwy,LeanneWood,6,Labour
Amanwy,LlyrGruffydd,1,Labour
Amanwy,MarkDrakeford,5,Labour
Amanwy,MarkReckless,2,Labour
Amanwy,MickAntoniw1,1,Labour
Amanwy,MikeHedgesAM,4,Labour
Amanwy,NathanGillMEP,6,Labour
Amanwy,NeilUKIP,7,Labour
Amanwy,NickRamsayAM,2,Labour
Amanwy,RebeccaEvansAM,2,Labour
Amanwy,RhunapIorwerth,11,Labour
Amanwy,SimonThomasAC,16,Labour
Amanwy,VikkiHowells,6,Labour
Amanwy,_Adam_Price,51,Labour
Amanwy,bethanjenkins,10,Labour
Amanwy,carlsargeant1,10,Labour
Amanwy,hannahblythyn,3,Labour
Amanwy,hef4caerphilly,7,Labour
Amanwy,huw4ogmore,7,Labour
Amanwy,lesley4wrexham,1,Labour
Amanwy,neiljmcevoy,9,Labour
Amanwy,rhi4islwyn,4,Labour
Amanwy,vaughangething,3,Labour
AndrewRTDavies,AMCarwyn,3,Conservative
AndrewRTDavies,AlunDaviesAM,1,Conservative
AndrewRTDavies,AngelaBurnsAM,15,Conservative
AndrewRTDavies,DarrenMillarAM,49,Conservative
AndrewRTDavies,ElinCeredigion,2,Conservative
AndrewRTDavies,Eluned_Morgan,3,Conservative
AndrewRTDavies,JFinchSaunders,25,Conservative
AndrewRTDavies,JaneHutt,2,Conservative
AndrewRTDavies,JennyRathbone,2,Conservative
AndrewRTDavies,JulieMorganLAB,4,Conservative
AndrewRTDavies,Kirsty_Williams,16,Conservative
AndrewRTDavies,LeanneWood,21,Conservative
AndrewRTDavies,MarkIsherwoodAM,9,Conservative
AndrewRTDavies,MarkReckless,2,Conservative
AndrewRTDavies,MickAntoniw1,1,Conservative
AndrewRTDavies,MohammadAsghar,5,Conservative
AndrewRTDavies,NathanGillMEP,9,Conservative
AndrewRTDavies,NeilUKIP,1,Conservative
AndrewRTDavies,NickRamsayAM,14,Conservative
AndrewRTDavies,RhunapIorwerth,4,Conservative
AndrewRTDavies,SimonThomasAC,2,Conservative
AndrewRTDavies,VikkiHowells,1,Conservative
AndrewRTDavies,ann_jonesam,1,Conservative
AndrewRTDavies,bethanjenkins,3,Conservative
AndrewRTDavies,neiljmcevoy,1,Conservative
AndrewRTDavies,russ_george,19,Conservative
AndrewRTDavies,suzydaviesam,11,Conservative
AndrewRTDavies,vaughangething,2,Conservative
AngelaBurnsAM,AMCarwyn,1,Conservative
AngelaBurnsAM,AlunDaviesAM,15,Conservative
AngelaBurnsAM,Amanwy,6,Conservative
AngelaBurnsAM,AndrewRTDavies,55,Conservative
AngelaBurnsAM,DarrenMillarAM,38,Conservative
AngelaBurnsAM,DavidReesAM,5,Conservative
AngelaBurnsAM,ElinCeredigion,9,Conservative
AngelaBurnsAM,ElisThomasD,6,Conservative
AngelaBurnsAM,Eluned_Morgan,1,Conservative
AngelaBurnsAM,JFinchSaunders,13,Conservative
AngelaBurnsAM,JaneHutt,1,Conservative
AngelaBurnsAM,JennyRathbone,3,Conservative
AngelaBurnsAM,Jeremy_Miles,1,Conservative
AngelaBurnsAM,JoyceWatsonam,1,Conservative
AngelaBurnsAM,JulieJamesAM,9,Conservative
AngelaBurnsAM,Kirsty_Williams,1,Conservative
AngelaBurnsAM,LeanneWood,6,Conservative
AngelaBurnsAM,LlyrGruffydd,4,Conservative
AngelaBurnsAM,MarkDrakeford,1,Conservative
AngelaBurnsAM,MarkIsherwoodAM,11,Conservative
AngelaBurnsAM,MickAntoniw1,1,Conservative
AngelaBurnsAM,MikeHedgesAM,14,Conservative
AngelaBurnsAM,MohammadAsghar,4,Conservative
AngelaBurnsAM,NeilUKIP,6,Conservative
AngelaBurnsAM,NickRamsayAM,7,Conservative
AngelaBurnsAM,RebeccaEvansAM,2,Conservative
AngelaBurnsAM,RhunapIorwerth,4,Conservative
AngelaBurnsAM,SimonThomasAC,23,Conservative
AngelaBurnsAM,_Adam_Price,1,Conservative
AngelaBurnsAM,ann_jonesam,1,Conservative
AngelaBurnsAM,bethanjenkins,10,Conservative
AngelaBurnsAM,carlsargeant1,2,Conservative
AngelaBurnsAM,carolineUKIP,2,Conservative
AngelaBurnsAM,lesley4wrexham,4,Conservative
AngelaBurnsAM,russ_george,20,Conservative
AngelaBurnsAM,suzydaviesam,34,Conservative
AngelaBurnsAM,vaughangething,5,Conservative
DarrenMillarAM,AMCarwyn,4,Conservative
DarrenMillarAM,AlunDaviesAM,6,Conservative
DarrenMillarAM,AndrewRTDavies,81,Conservative
DarrenMillarAM,AngelaBurnsAM,10,Conservative
DarrenMillarAM,DavidReesAM,6,Conservative
DarrenMillarAM,Dawn_Bowden,1,Conservative
DarrenMillarAM,ElinCeredigion,20,Conservative
DarrenMillarAM,JFinchSaunders,23,Conservative
DarrenMillarAM,JaneHutt,1,Conservative
DarrenMillarAM,JennyRathbone,3,Conservative
DarrenMillarAM,JulieMorganLAB,7,Conservative
DarrenMillarAM,Kirsty_Williams,41,Conservative
DarrenMillarAM,LeanneWood,3,Conservative
DarrenMillarAM,LlyrGruffydd,18,Conservative
DarrenMillarAM,MarkDrakeford,1,Conservative
DarrenMillarAM,MarkIsherwoodAM,22,Conservative
DarrenMillarAM,MarkReckless,1,Conservative
DarrenMillarAM,MickAntoniw1,4,Conservative
DarrenMillarAM,MohammadAsghar,4,Conservative
DarrenMillarAM,NickRamsayAM,3,Conservative
DarrenMillarAM,RebeccaEvansAM,1,Conservative
DarrenMillarAM,RhunapIorwerth,11,Conservative
DarrenMillarAM,SimonThomasAC,1,Conservative
DarrenMillarAM,ann_jonesam,5,Conservative
DarrenMillarAM,hannahblythyn,2,Conservative
DarrenMillarAM,russ_george,17,Conservative
DarrenMillarAM,vaughangething,7,Conservative
DavidReesAM,AMCarwyn,27,Labour
DavidReesAM,AlunDaviesAM,20,Labour
DavidReesAM,Amanwy,9,Labour
DavidReesAM,AndrewRTDavies,3,Labour
DavidReesAM,DarrenMillarAM,8,Labour
DavidReesAM,Dawn_Bowden,7,Labour
DavidReesAM,ElinCeredigion,9,Labour
DavidReesAM,ElisThomasD,2,Labour
DavidReesAM,Eluned_Morgan,6,Labour
DavidReesAM,JBryantWales,27,Labour
DavidReesAM,JFinchSaunders,9,Labour
DavidReesAM,JGriffithsLab,1,Labour
DavidReesAM,JaneHutt,5,Labour
DavidReesAM,JennyRathbone,2,Labour
DavidReesAM,Jeremy_Miles,35,Labour
DavidReesAM,JulieJamesAM,11,Labour
DavidReesAM,JulieMorganLAB,6,Labour
DavidReesAM,KenSkatesAM,6,Labour
DavidReesAM,Kirsty_Williams,20,Labour
DavidReesAM,LeanneWood,8,Labour
DavidReesAM,LlyrGruffydd,1,Labour
DavidReesAM,MarkIsherwoodAM,1,Labour
DavidReesAM,MarkReckless,2,Labour
DavidReesAM,MickAntoniw1,18,Labour
DavidReesAM,MikeHedgesAM,19,Labour
DavidReesAM,NeilUKIP,4,Labour
DavidReesAM,NickRamsayAM,6,Labour
DavidReesAM,RebeccaEvansAM,36,Labour
DavidReesAM,RhunapIorwerth,2,Labour
DavidReesAM,SimonThomasAC,9,Labour
DavidReesAM,VikkiHowells,3,Labour
DavidReesAM,_Adam_Price,1,Labour
DavidReesAM,ann_jonesam,4,Labour
DavidReesAM,bethanjenkins,52,Labour
DavidReesAM,carlsargeant1,25,Labour
DavidReesAM,hannahblythyn,21,Labour
DavidReesAM,huw4ogmore,6,Labour
DavidReesAM,lesley4wrexham,4,Labour
DavidReesAM,rhi4islwyn,2,Labour
DavidReesAM,russ_george,3,Labour
DavidReesAM,suzydaviesam,13,Labour
DavidReesAM,vaughangething,13,Labour
DavidRowlandsAM,AMCarwyn,1,UKIP
DavidRowlandsAM,Dawn_Bowden,2,UKIP
DavidRowlandsAM,LeanneWood,1,UKIP
DavidRowlandsAM,MarkReckless,38,UKIP
DavidRowlandsAM,NathanGillMEP,88,UKIP
DavidRowlandsAM,NeilUKIP,10,UKIP
DavidRowlandsAM,carolineUKIP,6,UKIP
DavidRowlandsAM,hef4caerphilly,1,UKIP
DavidRowlandsAM,suzydaviesam,2,UKIP
Dawn_Bowden,AMCarwyn,15,Labour
Dawn_Bowden,AlunDaviesAM,4,Labour
Dawn_Bowden,Amanwy,4,Labour
Dawn_Bowden,AndrewRTDavies,1,Labour
Dawn_Bowden,AngelaBurnsAM,1,Labour
Dawn_Bowden,DarrenMillarAM,2,Labour
Dawn_Bowden,DavidReesAM,1,Labour
Dawn_Bowden,ElinCeredigion,5,Labour
Dawn_Bowden,ElisThomasD,1,Labour
Dawn_Bowden,Eluned_Morgan,8,Labour
Dawn_Bowden,JBryantWales,7,Labour
Dawn_Bowden,JGriffithsLab,1,Labour
Dawn_Bowden,JaneHutt,2,Labour
Dawn_Bowden,JennyRathbone,1,Labour
Dawn_Bowden,Jeremy_Miles,6,Labour
Dawn_Bowden,JulieJamesAM,1,Labour
Dawn_Bowden,JulieMorganLAB,2,Labour
Dawn_Bowden,Kirsty_Williams,5,Labour
Dawn_Bowden,LeanneWood,12,Labour
Dawn_Bowden,MarkDrakeford,1,Labour
Dawn_Bowden,MarkReckless,1,Labour
Dawn_Bowden,MickAntoniw1,14,Labour
Dawn_Bowden,NathanGillMEP,1,Labour
Dawn_Bowden,NeilUKIP,1,Labour
Dawn_Bowden,RebeccaEvansAM,1,Labour
Dawn_Bowden,RhunapIorwerth,15,Labour
Dawn_Bowden,SimonThomasAC,3,Labour
Dawn_Bowden,VikkiHowells,8,Labour
Dawn_Bowden,ann_jonesam,2,Labour
Dawn_Bowden,bethanjenkins,1,Labour
Dawn_Bowden,carlsargeant1,1,Labour
Dawn_Bowden,carolineUKIP,1,Labour
Dawn_Bowden,hannahblythyn,7,Labour
Dawn_Bowden,hef4caerphilly,5,Labour
Dawn_Bowden,huw4ogmore,5,Labour
Dawn_Bowden,lesley4wrexham,1,Labour
Dawn_Bowden,rhi4islwyn,8,Labour
Dawn_Bowden,suzydaviesam,8,Labour
Dawn_Bowden,vaughangething,23,Labour
ElinCeredigion,AlunDaviesAM,3,Plaid Cymru
ElinCeredigion,Amanwy,2,Plaid Cymru
ElinCeredigion,AndrewRTDavies,2,Plaid Cymru
ElinCeredigion,AngelaBurnsAM,2,Plaid Cymru
ElinCeredigion,DarrenMillarAM,4,Plaid Cymru
ElinCeredigion,DavidReesAM,1,Plaid Cymru
ElinCeredigion,Dawn_Bowden,4,Plaid Cymru
ElinCeredigion,ElisThomasD,2,Plaid Cymru
ElinCeredigion,JaneHutt,7,Plaid Cymru
ElinCeredigion,JennyRathbone,1,Plaid Cymru
ElinCeredigion,JulieMorganLAB,4,Plaid Cymru
ElinCeredigion,KenSkatesAM,5,Plaid Cymru
ElinCeredigion,Kirsty_Williams,8,Plaid Cymru
ElinCeredigion,LeanneWood,109,Plaid Cymru
ElinCeredigion,LlyrGruffydd,24,Plaid Cymru
ElinCeredigion,MarkReckless,3,Plaid Cymru
ElinCeredigion,NickRamsayAM,1,Plaid Cymru
ElinCeredigion,RhunapIorwerth,30,Plaid Cymru
ElinCeredigion,SimonThomasAC,42,Plaid Cymru
ElinCeredigion,_Adam_Price,30,Plaid Cymru
ElinCeredigion,carlsargeant1,1,Plaid Cymru
ElinCeredigion,lesley4wrexham,1,Plaid Cymru
ElinCeredigion,neiljmcevoy,3,Plaid Cymru
ElinCeredigion,siangwenfelin,10,Plaid Cymru
ElinCeredigion,suzydaviesam,5,Plaid Cymru
ElinCeredigion,vaughangething,3,Plaid Cymru
ElisThomasD,AMCarwyn,1,Plaid Cymru
ElisThomasD,AlunDaviesAM,1,Plaid Cymru
ElisThomasD,Amanwy,3,Plaid Cymru
ElisThomasD,AndrewRTDavies,1,Plaid Cymru
ElisThomasD,AngelaBurnsAM,1,Plaid Cymru
ElisThomasD,DarrenMillarAM,2,Plaid Cymru
ElisThomasD,DavidReesAM,5,Plaid Cymru
ElisThomasD,ElinCeredigion,6,Plaid Cymru
ElisThomasD,Eluned_Morgan,7,Plaid Cymru
ElisThomasD,JFinchSaunders,1,Plaid Cymru
ElisThomasD,KenSkatesAM,1,Plaid Cymru
ElisThomasD,Kirsty_Williams,2,Plaid Cymru
ElisThomasD,LeanneWood,16,Plaid Cymru
ElisThomasD,LlyrGruffydd,1,Plaid Cymru
ElisThomasD,NathanGillMEP,2,Plaid Cymru
ElisThomasD,NickRamsayAM,2,Plaid Cymru
ElisThomasD,RhunapIorwerth,2,Plaid Cymru
ElisThomasD,_Adam_Price,22,Plaid Cymru
ElisThomasD,bethanjenkins,1,Plaid Cymru
ElisThomasD,carlsargeant1,1,Plaid Cymru
ElisThomasD,hef4caerphilly,1,Plaid Cymru
ElisThomasD,huw4ogmore,2,Plaid Cymru
