am1,am2,mentions,party
ASandbachAM,AledRobertsAM,6,Conservative
ASandbachAM,AlunDaviesAM,18,Conservative
ASandbachAM,AndrewRTDavies,13,Conservative
ASandbachAM,AngelaBurnsAM,7,Conservative
ASandbachAM,Byron_Davies,7,Conservative
ASandbachAM,ChrisChapmanAM,1,Conservative
ASandbachAM,DarrenMillarAM,14,Conservative
ASandbachAM,DavidReesAM,8,Conservative
ASandbachAM,ElinCeredigion,2,Conservative
ASandbachAM,ElisThomasD,6,Conservative
ASandbachAM,JFinchSaunders,26,Conservative
ASandbachAM,JaneHutt,2,Conservative
ASandbachAM,JoyceWatsonam,1,Conservative
ASandbachAM,JulieJamesAM,1,Conservative
ASandbachAM,JulieMorganLAB,5,Conservative
ASandbachAM,KeithDaviesAC,1,Conservative
ASandbachAM,KenSkatesAM,9,Conservative
ASandbachAM,Kirsty_Williams,3,Conservative
ASandbachAM,LeanneWood,3,Conservative
ASandbachAM,LlyrGruffydd,8,Conservative
ASandbachAM,MarkIsherwoodAM,7,Conservative
ASandbachAM,MohammadAsghar,1,Conservative
ASandbachAM,NickRamsayAM,12,Conservative
ASandbachAM,RebeccaEvansAM,1,Conservative
ASandbachAM,RhodriGlynPlaid,1,Conservative
ASandbachAM,RhunapIorwerth,20,Conservative
ASandbachAM,RosemaryButler,1,Conservative
ASandbachAM,SandyMewiesAM,2,Conservative
ASandbachAM,WilliamPowellAM,6,Conservative
ASandbachAM,ann_jonesam,7,Conservative
ASandbachAM,bethanjenkins,3,Conservative
ASandbachAM,carlsargeant1,5,Conservative
ASandbachAM,fmwales,16,Conservative
ASandbachAM,peterblackwales,6,Conservative
ASandbachAM,russ_george,4,Conservative
ASandbachAM,suzydaviesam,18,Conservative
ASandbachAM,vaughangething,4,Conservative
ASandbachAM,williamgrahamam,3,Conservative
AledRobertsAM,ASandbachAM,6,Liberal Democrat
AledRobertsAM,AlunDaviesAM,4,Liberal Democrat
AledRobertsAM,AlunFfredPlaid,6,Liberal Democrat
AledRobertsAM,AndrewRTDavies,5,Liberal Democrat
AledRobertsAM,AngelaBurnsAM,6,Liberal Democrat
AledRobertsAM,ChrisChapmanAM,2,Liberal Democrat
AledRobertsAM,DarrenMillarAM,9,Liberal Democrat
AledRobertsAM,DavidReesAM,4,Liberal Democrat
AledRobertsAM,ElinCeredigion,2,Liberal Democrat
AledRobertsAM,ElisThomasD,6,Liberal Democrat
AledRobertsAM,HuwLewis,4,Liberal Democrat
